size_sqft,total_bedrooms,total_bathrooms,house_age,location,garage,condition,price
1229,5,2.5,26,Suburban,Yes,Average,634000
1745,1,1.0,14,Suburban,No,Poor,558000
1912,5,2.5,23,Suburban,Yes,Excellent,779000
1873,3,2.5,13,Rural,Yes,Excellent,669000
1164,3,3.5,8,Urban,Yes,Good,614000
1376,4,3.0,47,Suburban,Yes,Good,616000
1633,3,2.0,11,Suburban,No,Excellent,648000
1890,5,2.0,13,Suburban,No,Average,635000
1308,5,3.0,3,Urban,Yes,Poor,672000
1426,3,2.5,14,Rural,Yes,Poor,515000
1057,2,1.5,12,Rural,No,Excellent,453000
1022,3,3.0,3,Suburban,No,Poor,551000
1825,5,3.0,0,Suburban,Yes,Average,694000
2042,2,1.5,13,Urban,Yes,Good,707000
1471,4,3.0,21,Suburban,Yes,Good,595000
1901,4,2.5,11,Suburban,Yes,Average,742000
1645,4,3.5,3,Suburban,Yes,Good,661000
1242,2,1.0,16,Rural,Yes,Excellent,546000
1645,4,2.5,1,Suburban,Yes,Good,714000
2115,5,2.5,8,Urban,Yes,Good,804000
1486,2,1.5,2,Suburban,Yes,Excellent,641000
2126,2,2.0,3,Urban,No,Poor,629000
600,5,2.5,3,Urban,No,Average,500000
1829,2,2.0,7,Urban,Yes,Good,712000
1535,5,2.5,0,Suburban,No,Excellent,659000
1380,3,3.0,7,Suburban,No,Good,622000
1537,2,1.5,10,Suburban,Yes,Excellent,662000
705,5,3.0,9,Suburban,Yes,Excellent,606000
1412,3,3.0,7,Suburban,No,Good,584000
1643,3,2.0,27,Urban,No,Good,716000
2091,3,2.0,2,Rural,No,Good,696000
1293,3,3.0,10,Urban,No,Excellent,650000
1177,2,2.0,0,Urban,Yes,Good,648000
1299,3,2.5,1,Suburban,Yes,Excellent,713000
1866,5,2.0,12,Urban,Yes,Poor,645000
1632,2,1.5,12,Urban,Yes,Good,657000
1288,4,2.0,31,Suburban,Yes,Average,499000
1705,3,3.5,12,Suburban,Yes,Excellent,713000
1539,4,2.5,48,Suburban,Yes,Excellent,654000
1887,2,1.5,0,Rural,No,Poor,568000
1219,5,2.0,1,Suburban,Yes,Excellent,627000
1369,3,3.0,0,Rural,Yes,Good,540000
1343,2,1.5,3,Urban,Yes,Good,641000
915,1,1.0,11,Suburban,Yes,Excellent,572000
1618,2,1.5,15,Rural,No,Average,527000
1604,3,2.5,0,Suburban,No,Good,662000
1502,3,3.5,43,Suburban,No,Excellent,579000
1406,4,3.5,27,Urban,Yes,Excellent,703000
934,3,3.5,5,Urban,Yes,Excellent,617000
1332,2,1.0,1,Suburban,Yes,Poor,515000
1363,4,2.5,2,Urban,Yes,Average,625000
1179,4,3.0,2,Rural,No,Excellent,571000
1435,2,1.5,1,Urban,No,Excellent,657000
1662,2,1.0,10,Rural,No,Average,509000
2254,1,1.5,4,Rural,Yes,Good,672000
1570,4,2.5,6,Urban,No,Good,679000
1603,4,3.0,50,Urban,Yes,Excellent,655000
1470,3,3.5,17,Rural,No,Excellent,661000
732,4,3.5,44,Rural,Yes,Average,431000
1489,4,3.5,2,Suburban,Yes,Poor,602000
1524,3,2.5,7,Urban,Yes,Excellent,671000
2485,5,2.0,12,Suburban,No,Good,840000
1423,2,1.5,1,Suburban,Yes,Good,631000
1621,2,1.0,0,Urban,Yes,Good,639000
1486,2,1.5,16,Suburban,No,Excellent,642000
1033,1,1.0,15,Urban,Yes,Average,533000
1957,3,3.0,7,Urban,Yes,Good,760000
1801,5,3.0,10,Urban,Yes,Good,740000
1816,1,1.5,8,Urban,Yes,Excellent,681000
1136,2,1.0,0,Urban,No,Excellent,605000
2061,3,2.5,6,Suburban,No,Excellent,715000
939,5,2.0,2,Urban,Yes,Average,643000
1735,3,3.0,1,Urban,No,Excellent,687000
2376,3,3.0,47,Urban,Yes,Average,797000
1104,1,2.0,13,Rural,Yes,Excellent,526000
1273,2,1.5,19,Suburban,Yes,Good,582000
1540,5,3.5,5,Suburban,Yes,Good,718000
1299,5,3.0,7,Suburban,Yes,Excellent,649000
880,1,1.0,4,Rural,No,Excellent,496000
1527,5,3.0,1,Urban,No,Excellent,637000
1075,4,3.5,2,Suburban,Yes,Average,568000
1689,5,3.0,23,Suburban,Yes,Average,638000
1132,3,3.0,16,Suburban,No,Excellent,552000
2120,3,3.5,11,Urban,No,Good,754000
1187,3,3.0,9,Suburban,No,Excellent,617000
1371,4,2.5,38,Urban,Yes,Excellent,679000
1825,2,2.0,1,Suburban,No,Excellent,689000
1008,1,1.5,4,Suburban,Yes,Poor,462000
1591,3,2.5,6,Urban,Yes,Excellent,722000
2023,4,3.0,22,Rural,Yes,Excellent,713000
857,2,1.5,50,Urban,Yes,Excellent,558000
1574,4,3.5,4,Rural,Yes,Excellent,691000
1604,5,2.5,31,Suburban,Yes,Good,663000
1813,1,1.5,26,Urban,Yes,Excellent,658000
1005,4,2.5,3,Urban,No,Excellent,599000
972,3,3.5,7,Rural,Yes,Good,526000
1709,5,3.5,7,Urban,Yes,Excellent,757000
1619,2,1.5,50,Urban,Yes,Average,607000
1600,4,3.5,2,Urban,No,Good,725000
1639,4,3.0,24,Suburban,Yes,Excellent,688000
1228,5,3.0,6,Suburban,Yes,Average,614000
1593,4,2.0,19,Urban,Yes,Excellent,707000
1617,3,2.5,8,Urban,No,Good,658000
1214,4,3.0,12,Urban,No,Good,600000
2246,5,3.0,26,Urban,Yes,Excellent,768000
1690,3,2.5,24,Suburban,Yes,Good,637000
1023,1,1.5,30,Suburban,No,Poor,452000
1763,5,2.0,0,Urban,Yes,Poor,663000
1110,4,3.0,17,Urban,Yes,Good,620000
1815,4,3.0,2,Urban,Yes,Good,762000
1963,2,1.5,8,Rural,Yes,Excellent,684000
1172,4,3.0,11,Rural,Yes,Excellent,560000
1885,3,2.5,7,Rural,Yes,Good,694000
1665,4,2.0,10,Urban,No,Excellent,737000
1829,2,1.5,50,Urban,No,Poor,547000
2259,4,3.0,2,Urban,Yes,Excellent,810000
1402,5,2.0,16,Urban,No,Excellent,705000
1199,1,1.0,7,Suburban,Yes,Excellent,570000
1144,5,2.5,2,Suburban,Yes,Average,531000
1174,3,3.0,2,Rural,Yes,Average,503000
1469,5,3.5,44,Rural,No,Good,576000
1636,4,2.0,31,Urban,No,Excellent,643000
1611,3,2.0,35,Suburban,No,Average,570000
1831,4,3.0,50,Urban,No,Excellent,704000
1505,5,3.0,3,Urban,Yes,Poor,702000
2081,3,3.0,6,Suburban,No,Good,713000
1394,3,3.5,16,Urban,No,Excellent,699000
2588,4,3.5,9,Suburban,No,Good,858000
1750,4,3.5,8,Urban,Yes,Average,758000
1157,4,3.0,6,Suburban,Yes,Excellent,644000
1072,4,2.5,13,Suburban,Yes,Poor,474000
1693,3,2.5,12,Urban,Yes,Good,714000
1411,4,2.0,2,Rural,Yes,Excellent,654000
1786,2,2.0,9,Urban,Yes,Excellent,715000
1689,3,2.5,12,Suburban,Yes,Good,722000
1471,1,1.0,12,Suburban,Yes,Good,616000
1161,3,3.0,3,Suburban,Yes,Good,624000
894,3,3.0,20,Rural,Yes,Average,518000
1321,3,2.5,0,Urban,No,Good,647000
1843,4,2.0,6,Suburban,Yes,Poor,574000
1586,3,2.0,22,Suburban,Yes,Good,622000
1002,3,2.5,12,Rural,No,Average,518000
1569,2,1.0,4,Urban,Yes,Excellent,651000
1654,3,3.0,17,Suburban,Yes,Excellent,680000
1146,2,2.0,12,Suburban,Yes,Excellent,558000
1561,1,1.5,23,Urban,Yes,Good,684000
1523,4,3.0,19,Suburban,No,Poor,633000
1043,4,2.5,14,Urban,Yes,Excellent,606000
1643,4,3.5,10,Suburban,Yes,Excellent,716000
1724,3,3.5,2,Rural,Yes,Poor,585000
1933,3,2.0,4,Suburban,Yes,Excellent,745000
1922,5,3.0,8,Suburban,No,Average,711000
949,3,2.5,13,Suburban,Yes,Good,582000
1125,3,3.5,10,Urban,Yes,Average,617000
1706,1,1.5,5,Urban,Yes,Excellent,778000
1706,3,2.0,0,Suburban,Yes,Excellent,666000
1706,3,3.5,10,Urban,Yes,Good,668000
3000,3,3.0,5,Urban,No,Poor,824000
1728,3,3.5,19,Suburban,No,Good,617000
1954,3,2.5,0,Urban,No,Excellent,707000
1882,4,3.5,13,Urban,No,Good,705000
1761,4,2.0,42,Suburban,No,Poor,552000
1374,4,2.5,2,Urban,Yes,Average,621000
1804,4,2.0,9,Rural,No,Poor,595000
1191,5,3.5,1,Rural,No,Excellent,590000
1405,1,1.5,14,Suburban,No,Excellent,581000
1306,2,1.5,11,Urban,Yes,Good,643000
1533,1,2.0,7,Suburban,Yes,Average,572000
2426,4,2.0,11,Rural,No,Excellent,738000
753,5,2.5,34,Suburban,No,Excellent,542000
1775,2,1.5,3,Urban,No,Average,591000
855,5,2.5,0,Suburban,Yes,Excellent,529000
1311,1,1.5,29,Rural,Yes,Excellent,548000
1936,5,2.5,12,Suburban,Yes,Good,746000
1526,3,2.5,33,Suburban,No,Good,666000
1069,2,1.5,13,Suburban,Yes,Average,529000
1214,3,2.0,24,Suburban,Yes,Excellent,624000
1772,2,1.0,8,Urban,No,Good,656000
1208,2,1.0,20,Suburban,Yes,Good,564000
1587,3,3.0,36,Urban,No,Good,698000
1518,4,3.5,12,Suburban,Yes,Good,608000
1239,3,2.5,2,Urban,No,Excellent,655000
2358,3,2.5,4,Suburban,Yes,Excellent,862000
1754,4,3.0,3,Urban,No,Excellent,746000
690,4,2.5,4,Suburban,No,Excellent,590000
1575,2,1.0,5,Suburban,Yes,Good,606000
1235,3,2.5,12,Urban,Yes,Average,606000
1841,2,2.0,13,Urban,Yes,Average,678000
1183,2,2.0,8,Urban,No,Average,497000
1454,4,2.5,14,Rural,No,Excellent,570000
1702,2,2.0,1,Suburban,Yes,Good,630000
1846,3,2.0,1,Suburban,Yes,Excellent,742000
1020,4,2.5,2,Urban,Yes,Excellent,668000
1366,2,2.0,10,Suburban,No,Excellent,614000
1310,3,2.0,3,Rural,No,Good,579000
1239,2,1.5,4,Rural,Yes,Poor,483000
2206,5,3.5,7,Suburban,Yes,Excellent,847000
1662,3,2.0,25,Urban,Yes,Excellent,696000
996,4,2.0,0,Urban,Yes,Average,589000
1867,3,2.5,15,Urban,Yes,Excellent,736000
2349,1,1.5,16,Urban,Yes,Average,751000
1913,4,3.0,24,Urban,Yes,Average,703000
892,5,3.5,40,Urban,Yes,Poor,566000
1306,4,2.0,0,Urban,Yes,Good,625000
2007,4,3.0,2,Rural,Yes,Average,649000
1217,5,3.0,32,Suburban,Yes,Good,631000
1678,2,1.0,9,Rural,No,Good,574000
1810,2,2.0,12,Suburban,No,Good,635000
1129,4,2.5,16,Urban,Yes,Excellent,671000
1476,3,2.5,17,Suburban,Yes,Good,615000
600,4,2.0,40,Urban,No,Good,487000
1090,5,2.5,50,Suburban,No,Average,563000
1399,3,2.5,19,Urban,Yes,Average,671000
1001,2,2.0,5,Rural,Yes,Average,536000
2153,4,2.0,31,Urban,Yes,Excellent,766000
928,2,1.0,0,Urban,Yes,Average,575000
1324,4,2.5,3,Rural,Yes,Good,568000
1552,3,3.0,34,Urban,Yes,Poor,583000
2077,4,3.0,4,Suburban,No,Poor,610000
926,1,1.0,3,Suburban,Yes,Excellent,588000
1965,4,3.0,2,Rural,Yes,Average,650000
1504,3,3.5,29,Rural,Yes,Excellent,616000
1107,3,2.5,10,Rural,Yes,Excellent,537000
1685,2,2.0,16,Urban,Yes,Good,697000
1580,4,3.5,4,Rural,Yes,Excellent,657000
1260,5,3.5,21,Suburban,No,Average,551000
1528,2,1.0,21,Suburban,Yes,Excellent,635000
1346,1,1.5,5,Urban,No,Excellent,573000
1545,1,2.0,7,Suburban,No,Good,577000
1765,4,2.5,3,Rural,Yes,Average,574000
2134,4,3.0,50,Rural,Yes,Poor,580000
1005,3,2.5,15,Suburban,Yes,Average,545000
2353,2,1.0,40,Urban,No,Average,633000
719,3,3.5,5,Urban,No,Excellent,532000
1439,3,2.5,22,Rural,No,Excellent,582000
1735,3,3.5,21,Suburban,Yes,Excellent,686000
1612,5,2.5,17,Suburban,No,Good,717000
1251,2,1.5,50,Urban,Yes,Average,599000
1417,4,2.5,7,Suburban,Yes,Good,620000
1303,3,3.0,2,Suburban,Yes,Average,621000
1264,3,2.0,16,Rural,Yes,Good,577000
1840,4,2.0,19,Suburban,No,Excellent,672000
1643,4,3.5,12,Urban,Yes,Excellent,695000
1223,5,2.0,3,Suburban,Yes,Average,600000
1860,2,1.5,10,Urban,Yes,Average,670000
1623,2,1.5,5,Rural,No,Poor,512000
1825,4,2.5,8,Urban,No,Excellent,750000
1752,3,3.0,15,Suburban,Yes,Poor,606000
1168,2,1.0,20,Urban,Yes,Excellent,565000
1276,1,1.5,3,Suburban,Yes,Excellent,601000
1799,1,1.0,7,Suburban,No,Poor,581000
1744,5,3.0,4,Suburban,Yes,Excellent,702000
1492,2,1.5,3,Urban,Yes,Average,655000
1547,3,3.0,22,Urban,Yes,Excellent,643000
2011,2,2.0,35,Urban,Yes,Good,688000
1263,3,2.5,6,Suburban,No,Poor,529000
1719,1,1.0,20,Urban,Yes,Excellent,651000
1419,3,2.0,34,Suburban,Yes,Average,558000
1413,1,1.0,28,Rural,Yes,Excellent,602000
1940,4,2.5,3,Rural,Yes,Good,663000
1830,2,2.0,46,Suburban,No,Excellent,711000
1825,3,3.5,7,Suburban,Yes,Excellent,743000
2022,5,3.0,6,Urban,No,Excellent,790000
1508,4,2.0,0,Suburban,No,Excellent,674000
1773,3,2.5,9,Rural,Yes,Poor,666000
1376,3,3.0,1,Urban,Yes,Excellent,662000
1630,3,2.5,4,Suburban,Yes,Excellent,655000
1448,4,2.0,5,Rural,No,Good,563000
1539,5,3.0,24,Rural,Yes,Excellent,648000
1738,4,3.5,31,Urban,Yes,Average,638000
1173,3,3.0,5,Suburban,Yes,Poor,553000
2337,4,2.0,29,Urban,No,Good,815000
1098,3,3.0,29,Urban,Yes,Poor,551000
1014,1,2.0,21,Rural,Yes,Good,479000
1963,3,2.5,2,Rural,Yes,Excellent,682000
1817,5,3.5,17,Suburban,Yes,Average,725000
1750,2,1.5,43,Urban,No,Good,606000
1751,4,2.5,17,Rural,Yes,Average,677000
1495,2,1.0,6,Suburban,No,Poor,595000
1141,3,3.5,10,Urban,No,Good,622000
1530,1,1.5,15,Suburban,Yes,Poor,549000
1229,3,3.0,10,Urban,No,Average,626000
1890,4,3.0,1,Suburban,Yes,Good,763000
1441,3,2.0,5,Suburban,Yes,Good,608000
1170,4,2.5,24,Urban,No,Excellent,606000
1371,4,2.5,29,Urban,Yes,Poor,553000
1665,5,2.0,2,Urban,Yes,Average,710000
1275,2,1.5,45,Urban,Yes,Excellent,618000
1171,3,3.5,5,Suburban,No,Excellent,574000
1597,2,2.0,16,Rural,Yes,Good,579000
1598,5,2.5,20,Urban,Yes,Excellent,682000
1297,5,2.5,25,Urban,Yes,Excellent,645000
1312,3,2.5,43,Suburban,No,Good,579000
1593,4,3.5,5,Rural,No,Excellent,627000
921,3,2.5,29,Urban,Yes,Good,559000
937,4,2.5,2,Urban,No,Excellent,560000
1213,1,1.0,18,Suburban,Yes,Excellent,572000
1415,4,2.0,20,Urban,Yes,Average,629000
1624,2,2.0,16,Urban,No,Good,625000
2090,4,2.5,4,Suburban,No,Excellent,744000
1843,4,3.0,30,Suburban,No,Excellent,700000
1436,4,3.5,2,Suburban,No,Good,624000
1492,1,1.0,0,Suburban,Yes,Excellent,582000
1099,3,2.5,18,Suburban,No,Excellent,630000
1493,2,1.5,9,Urban,Yes,Excellent,647000
1385,3,2.0,28,Urban,Yes,Average,603000
1629,1,2.0,7,Urban,Yes,Average,670000
1169,5,2.5,2,Urban,Yes,Average,737000
1708,3,2.5,27,Suburban,Yes,Average,595000
2113,3,3.0,11,Rural,Yes,Average,690000
1456,3,3.0,3,Rural,Yes,Good,590000
1661,3,3.5,19,Suburban,Yes,Good,657000
1776,4,3.0,10,Urban,Yes,Excellent,733000
1340,3,3.0,13,Urban,Yes,Good,620000
1590,5,2.0,9,Rural,Yes,Average,608000
1505,3,2.0,26,Suburban,No,Good,557000
1539,5,3.0,26,Suburban,No,Excellent,693000
1191,5,2.5,18,Suburban,No,Excellent,615000
1510,2,1.0,1,Suburban,Yes,Good,632000
1699,5,2.0,27,Rural,No,Average,574000
2080,2,2.0,16,Urban,Yes,Poor,669000
1884,4,2.5,17,Suburban,Yes,Excellent,735000
2361,3,2.5,6,Rural,Yes,Average,677000
1193,5,2.0,31,Urban,No,Good,592000
1849,5,3.0,19,Suburban,Yes,Poor,638000
1573,4,2.0,1,Urban,Yes,Good,671000
2376,4,3.0,7,Rural,Yes,Good,694000
1177,3,2.5,32,Urban,No,Good,623000
1164,1,1.5,0,Suburban,Yes,Average,519000
1260,3,2.5,48,Urban,Yes,Poor,579000
650,2,1.0,17,Suburban,Yes,Excellent,527000
1290,4,2.5,14,Urban,Yes,Excellent,631000
1196,3,3.0,4,Urban,No,Poor,534000
1560,5,2.0,4,Suburban,Yes,Good,752000
1637,4,3.0,42,Rural,No,Good,644000
2250,4,2.5,5,Urban,Yes,Good,802000
1880,2,1.5,22,Urban,No,Excellent,699000
1269,5,3.0,7,Suburban,Yes,Average,599000
1141,5,3.5,2,Suburban,Yes,Average,625000
1697,3,2.5,0,Rural,Yes,Excellent,641000
972,4,2.0,11,Urban,Yes,Excellent,557000
2233,4,2.0,50,Suburban,Yes,Average,653000
1972,2,1.5,6,Urban,No,Excellent,722000
1312,3,3.0,6,Urban,Yes,Poor,568000
815,3,3.0,6,Suburban,No,Excellent,550000
2042,2,1.5,11,Suburban,No,Good,644000
1454,3,2.5,8,Suburban,Yes,Poor,560000
1995,1,1.5,31,Urban,No,Average,668000
862,1,1.5,10,Suburban,No,Good,496000
1260,2,1.5,10,Suburban,Yes,Average,555000
1502,5,3.5,2,Rural,No,Excellent,677000
1519,3,2.5,50,Urban,Yes,Excellent,671000
1320,5,3.0,4,Urban,Yes,Poor,672000
1749,3,3.0,1,Urban,No,Average,669000
1073,3,2.5,16,Suburban,Yes,Good,561000
1443,3,3.5,13,Urban,Yes,Excellent,658000
1548,3,3.5,8,Rural,Yes,Excellent,635000
1706,2,2.0,8,Urban,No,Excellent,716000
1785,4,3.0,23,Rural,No,Good,672000
1050,2,1.0,3,Urban,Yes,Average,582000
886,4,2.5,25,Suburban,No,Good,475000
2011,4,3.5,15,Rural,No,Average,690000
1633,2,2.0,8,Urban,Yes,Excellent,641000
1201,1,1.5,9,Rural,Yes,Excellent,568000
2120,4,3.0,4,Suburban,No,Excellent,751000
1546,3,3.0,20,Rural,No,Good,609000
1972,1,1.0,10,Suburban,No,Excellent,628000
1527,5,2.5,5,Urban,Yes,Poor,687000
2324,1,1.5,13,Urban,Yes,Excellent,731000
2202,4,2.0,50,Urban,Yes,Poor,668000
1400,5,2.5,8,Urban,Yes,Good,655000
1889,2,1.0,38,Urban,Yes,Poor,562000
1758,2,2.0,6,Urban,No,Good,680000
2047,2,2.0,0,Suburban,Yes,Poor,715000
1114,3,3.5,3,Suburban,No,Excellent,688000
1774,2,1.5,8,Urban,Yes,Average,668000
1923,4,2.5,3,Urban,Yes,Poor,735000
797,1,1.5,0,Suburban,Yes,Excellent,536000
1027,3,2.0,36,Urban,Yes,Excellent,604000
684,5,2.0,27,Urban,Yes,Good,540000
1392,4,2.0,20,Urban,No,Poor,583000
1787,4,3.0,2,Rural,No,Good,670000
2101,3,2.0,1,Rural,Yes,Good,678000
1530,4,3.5,1,Urban,Yes,Excellent,732000
2151,3,2.5,19,Suburban,No,Excellent,730000
948,3,3.0,39,Suburban,Yes,Average,539000
819,2,2.0,8,Suburban,Yes,Excellent,512000
1478,5,2.5,1,Suburban,Yes,Good,672000
1654,3,3.0,10,Suburban,No,Poor,656000
1487,2,1.5,6,Urban,Yes,Excellent,703000
673,3,3.0,7,Urban,Yes,Average,575000
1464,3,3.0,14,Suburban,No,Excellent,642000
978,4,3.5,19,Rural,Yes,Good,553000
1768,4,3.5,1,Suburban,Yes,Excellent,770000
1647,4,3.0,0,Rural,Yes,Average,677000
1124,1,1.0,50,Rural,No,Excellent,402000
1294,3,2.0,3,Urban,Yes,Good,603000
1076,3,2.5,0,Suburban,No,Good,609000
1475,1,1.5,3,Suburban,No,Excellent,599000
1882,2,1.0,0,Rural,Yes,Average,591000
1106,4,2.5,7,Rural,No,Excellent,522000
1702,2,1.5,24,Suburban,Yes,Average,591000
1288,3,3.5,6,Urban,Yes,Excellent,639000
1183,2,1.5,8,Suburban,Yes,Average,609000
1457,1,1.0,16,Urban,Yes,Excellent,634000
1086,2,1.5,10,Suburban,Yes,Good,553000
1279,5,2.5,29,Rural,Yes,Excellent,613000
1021,4,2.0,30,Urban,Yes,Average,590000
2286,5,2.0,0,Suburban,No,Excellent,816000
1514,3,2.5,22,Suburban,Yes,Poor,611000
1220,2,2.0,9,Suburban,No,Poor,489000
1586,3,3.5,50,Urban,Yes,Excellent,672000
1455,3,2.0,9,Suburban,Yes,Good,653000
1412,4,3.0,50,Rural,Yes,Excellent,574000
1746,1,1.5,21,Rural,Yes,Excellent,610000
1803,3,2.5,4,Urban,Yes,Average,712000
1288,2,1.0,11,Rural,No,Average,515000
1270,3,2.5,50,Suburban,No,Good,496000
1390,4,3.0,29,Urban,No,Excellent,679000
600,3,2.5,1,Urban,Yes,Excellent,560000
894,3,2.0,18,Urban,No,Excellent,588000
2047,3,2.0,6,Rural,Yes,Average,680000
2158,3,3.0,0,Suburban,Yes,Good,808000
1400,4,3.5,7,Suburban,No,Average,654000
1731,5,2.5,4,Urban,Yes,Excellent,798000
1625,5,3.0,25,Suburban,Yes,Excellent,742000
2732,4,3.0,6,Urban,Yes,Excellent,910000
1948,3,3.5,26,Urban,Yes,Excellent,761000
1449,4,3.5,0,Suburban,No,Excellent,699000
1118,3,3.0,5,Urban,Yes,Average,626000
857,2,1.5,4,Rural,No,Poor,402000
1581,4,3.5,3,Urban,Yes,Good,732000
1197,1,1.0,1,Suburban,Yes,Good,560000
931,5,2.5,3,Suburban,Yes,Excellent,584000
1241,3,2.0,12,Suburban,Yes,Poor,579000
1067,4,3.5,5,Urban,Yes,Excellent,662000
2175,4,3.5,8,Urban,No,Poor,790000
1853,5,2.0,7,Rural,No,Good,607000
1497,4,3.0,31,Urban,No,Excellent,655000
2092,4,2.5,35,Rural,No,Poor,605000
1531,1,2.0,10,Rural,No,Excellent,611000
1155,3,3.5,6,Urban,Yes,Good,653000
2109,2,2.0,1,Urban,No,Good,744000
1716,4,2.0,45,Suburban,Yes,Excellent,632000
1085,3,3.0,0,Rural,Yes,Good,524000
1424,4,3.0,5,Rural,Yes,Average,601000
1150,1,1.5,5,Suburban,Yes,Average,491000
947,1,1.5,5,Suburban,Yes,Excellent,531000
1870,4,3.0,2,Urban,No,Poor,697000
2264,1,1.5,22,Rural,Yes,Excellent,658000
941,1,2.0,1,Rural,Yes,Excellent,565000
1725,1,1.0,15,Urban,Yes,Excellent,712000
1240,5,2.5,1,Urban,Yes,Excellent,640000
1305,4,3.5,1,Urban,Yes,Excellent,672000
1263,3,3.5,36,Urban,Yes,Poor,503000
1154,2,2.0,3,Rural,Yes,Excellent,536000
1519,3,2.5,25,Urban,Yes,Excellent,704000
1168,4,3.5,11,Urban,No,Excellent,637000
1608,4,2.5,1,Urban,No,Average,680000
1480,2,1.0,46,Rural,Yes,Poor,429000
1404,2,1.5,4,Suburban,Yes,Excellent,652000
1137,1,2.0,29,Suburban,Yes,Excellent,542000
1269,4,3.0,2,Urban,No,Excellent,667000
1802,4,2.5,28,Rural,Yes,Excellent,660000
1700,2,1.5,0,Rural,Yes,Excellent,598000
1109,1,1.0,10,Urban,No,Good,514000
1540,1,1.5,22,Urban,Yes,Excellent,677000
1801,5,3.0,40,Urban,Yes,Good,732000
832,2,1.5,35,Urban,Yes,Excellent,573000
1717,4,3.5,25,Suburban,No,Poor,623000
1235,4,3.5,32,Rural,No,Poor,498000
1728,3,2.5,3,Suburban,No,Good,613000
1195,2,2.0,5,Rural,Yes,Excellent,555000
778,2,1.0,5,Suburban,Yes,Excellent,525000
849,4,3.5,7,Suburban,No,Good,614000
1519,4,2.5,7,Suburban,No,Average,637000
1604,4,2.5,11,Urban,Yes,Good,746000
1138,3,2.0,2,Urban,No,Poor,563000
1755,1,2.0,17,Suburban,Yes,Poor,567000
835,5,2.5,2,Urban,Yes,Excellent,629000
1474,4,3.5,5,Urban,No,Good,689000
1016,2,1.0,10,Suburban,Yes,Excellent,528000
1239,5,2.5,23,Rural,No,Excellent,564000
1519,4,3.5,20,Suburban,Yes,Good,657000
1156,3,3.5,15,Rural,Yes,Excellent,630000
1346,4,2.5,2,Suburban,No,Poor,503000
1903,4,2.5,11,Suburban,No,Excellent,751000
1269,4,2.5,1,Suburban,Yes,Good,602000
1834,2,2.0,7,Rural,Yes,Good,596000
1048,3,2.0,8,Suburban,Yes,Average,581000
1712,5,3.5,0,Suburban,Yes,Excellent,766000
2077,2,1.5,4,Suburban,No,Poor,672000
